Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.08593750
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39634375e-08,1.74503125e-01
-6.39234375e-08,1.74495312e-01
-6.38834375e-08,1.74504688e-01
-6.38434375e-08,1.74495312e-01
-6.38034375e-08,1.74504688e-01
-6.37634375e-08,1.74495312e-01
-6.37234375e-08,1.74506250e-01
-6.36834375e-08,1.74493750e-01
-6.36434375e-08,1.74507812e-01
-6.36034375e-08,1.74492188e-01
-6.35634375e-08,1.74509375e-01
-6.35234375e-08,1.74490625e-01
-6.34834375e-08,1.74510938e-01
-6.34434375e-08,1.74485937e-01
-6.34034375e-08,1.74517188e-01
-6.33634375e-08,1.74478125e-01
-6.33234375e-08,1.74532812e-01
-6.32834375e-08,1.74442188e-01
-6.32434375e-08,1.74710937e-01
-6.32034375e-08,1.74951563e-01
-6.31634375e-08,1.74871875e-01
-6.31234375e-08,1.74918750e-01
-6.30834375e-08,1.74887500e-01
-6.30434375e-08,1.74909375e-01
-6.30034375e-08,1.74892188e-01
-6.29634375e-08,1.74904688e-01
-6.29234375e-08,1.74896875e-01
-6.28834375e-08,1.74903125e-01
-6.28434375e-08,1.74898438e-01
-6.28034375e-08,1.74900000e-01
-6.27634375e-08,1.74901562e-01
-6.27234375e-08,1.74896875e-01
-6.26834375e-08,1.74904688e-01
-6.26434375e-08,1.74892188e-01
-6.26034375e-08,1.74910938e-01
-6.25634375e-08,1.74884375e-01
-6.25234375e-08,1.74925000e-01
-6.24834375e-08,1.74848438e-01
-6.24434375e-08,1.75104687e-01
-6.24034375e-08,1.75357813e-01
-6.23634375e-08,1.75265625e-01
-6.23234375e-08,1.75325000e-01
-6.22834375e-08,1.75281250e-01
-6.22434375e-08,1.75315625e-01
-6.22034375e-08,1.75285938e-01
-6.21634375e-08,1.75312500e-01
-6.21234375e-08,1.75289063e-01
-6.20834375e-08,1.75310938e-01
-6.20434375e-08,1.75290625e-01
-6.20034375e-08,1.75309375e-01
-6.19634375e-08,1.75292188e-01
-6.19234375e-08,1.75307812e-01
-6.18834375e-08,1.75292188e-01
-6.18434375e-08,1.75307812e-01
-6.18034375e-08,1.75293750e-01
-6.17634375e-08,1.75306250e-01
-6.17234375e-08,1.75293750e-01
-6.16834375e-08,1.75306250e-01
-6.16434375e-08,1.75293750e-01
-6.16034375e-08,1.75306250e-01
-6.15634375e-08,1.75293750e-01
-6.15234375e-08,1.75304688e-01
-6.14834375e-08,1.75295312e-01
-6.14434375e-08,1.75304688e-01
-6.14034375e-08,1.75295312e-01
-6.13634375e-08,1.75304688e-01
-6.13234375e-08,1.75295312e-01
-6.12834375e-08,1.75304688e-01
-6.12434375e-08,1.75295312e-01
-6.12034375e-08,1.75304688e-01
-6.11634375e-08,1.75295312e-01
-6.11234375e-08,1.75304688e-01
-6.10834375e-08,1.75295312e-01
-6.10434375e-08,1.75303125e-01
-6.10034375e-08,1.75296875e-01
-6.09634375e-08,1.75303125e-01
-6.09234375e-08,1.75296875e-01
-6.08834375e-08,1.75303125e-01
-6.08434375e-08,1.75296875e-01
-6.08034375e-08,1.75303125e-01
-6.07634375e-08,1.75296875e-01
-6.07234375e-08,1.75303125e-01
-6.06834375e-08,1.75296875e-01
-6.06434375e-08,1.75303125e-01
