Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,6249.09375000
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,0.00000000e+00

Labels,
TIME,CH1
-2.49963750e-07,1.94014719e-01
-2.49923750e-07,1.94008375e-01
-2.49883750e-07,1.94015625e-01
-2.49843750e-07,1.94007469e-01
-2.49803750e-07,1.94017438e-01
-2.49763750e-07,1.94005656e-01
-2.49723750e-07,1.94020156e-01
-2.49683750e-07,1.94002031e-01
-2.49643750e-07,1.94024687e-01
-2.49603750e-07,1.93992969e-01
-2.49563750e-07,1.94045531e-01
-2.49523750e-07,1.93889656e-01
-2.49483750e-07,1.93751000e-01
-2.49443750e-07,1.93795406e-01
-2.49403750e-07,1.93770031e-01
-2.49363750e-07,1.93786344e-01
-2.49323750e-07,1.93775469e-01
-2.49283750e-07,1.93782719e-01
-2.49243750e-07,1.93779094e-01
-2.49203750e-07,1.93780000e-01
-2.49163750e-07,1.93781812e-01
-2.49123750e-07,1.93776375e-01
-2.49083750e-07,1.93785437e-01
-2.49043750e-07,1.93770937e-01
-2.49003750e-07,1.93795406e-01
-2.48963750e-07,1.93750094e-01
-2.48923750e-07,1.93898719e-01
-2.48883750e-07,1.94044625e-01
-2.48843750e-07,1.93992969e-01
-2.48803750e-07,1.94025594e-01
-2.48763750e-07,1.94002031e-01
-2.48723750e-07,1.94020156e-01
-2.48683750e-07,1.94005656e-01
-2.48643750e-07,1.94017438e-01
-2.48603750e-07,1.94007469e-01
-2.48563750e-07,1.94015625e-01
-2.48523750e-07,1.94009281e-01
-2.48483750e-07,1.94013812e-01
-2.48443750e-07,1.94012000e-01
-2.48403750e-07,1.94011094e-01
-2.48363750e-07,1.94014719e-01
-2.48323750e-07,1.94005656e-01
-2.48283750e-07,1.94023781e-01
-2.48243750e-07,1.93985719e-01
-2.48203750e-07,1.94127094e-01
-2.48163750e-07,1.94281156e-01
-2.48123750e-07,1.94220438e-01
-2.48083750e-07,1.94263031e-01
-2.48043750e-07,1.94226781e-01
-2.48003750e-07,1.94261219e-01
-2.47963750e-07,1.94225875e-01
-2.47923750e-07,1.94266656e-01
-2.47883750e-07,1.94207750e-01
-2.47843750e-07,1.94368156e-01
-2.47803750e-07,1.94505000e-01
-2.47763750e-07,1.94459688e-01
-2.47723750e-07,1.94488688e-01
-2.47683750e-07,1.94465125e-01
-2.47643750e-07,1.94487781e-01
-2.47603750e-07,1.94462406e-01
-2.47563750e-07,1.94494125e-01
-2.47523750e-07,1.94443375e-01
-2.47483750e-07,1.94597437e-01
-2.47443750e-07,1.94739719e-01
-2.47403750e-07,1.94690781e-01
-2.47363750e-07,1.94720687e-01
-2.47323750e-07,1.94698938e-01
-2.47283750e-07,1.94715250e-01
-2.47243750e-07,1.94701656e-01
-2.47203750e-07,1.94713438e-01
-2.47163750e-07,1.94703469e-01
-2.47123750e-07,1.94712531e-01
-2.47083750e-07,1.94704375e-01
-2.47043750e-07,1.94711625e-01
-2.47003750e-07,1.94705281e-01
-2.46963750e-07,1.94710719e-01
-2.46923750e-07,1.94706187e-01
-2.46883750e-07,1.94709812e-01
-2.46843750e-07,1.94707094e-01
-2.46803750e-07,1.94708906e-01
-2.46763750e-07,1.94708000e-01
-2.46723750e-07,1.94707094e-01
-2.46683750e-07,1.94709812e-01
-2.46643750e-07,1.94704375e-01
