Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.04687500
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39618750e-08,1.85507813e-01
-6.39218750e-08,1.85753125e-01
-6.38818750e-08,1.85670313e-01
-6.38418750e-08,1.85720313e-01
-6.38018750e-08,1.85684375e-01
-6.37618750e-08,1.85712500e-01
-6.37218750e-08,1.85689063e-01
-6.36818750e-08,1.85709375e-01
-6.36418750e-08,1.85692187e-01
-6.36018750e-08,1.85707813e-01
-6.35618750e-08,1.85693750e-01
-6.35218750e-08,1.85706250e-01
-6.34818750e-08,1.85695313e-01
-6.34418750e-08,1.85704688e-01
-6.34018750e-08,1.85695313e-01
-6.33618750e-08,1.85704688e-01
-6.33218750e-08,1.85695313e-01
-6.32818750e-08,1.85704688e-01
-6.32418750e-08,1.85696875e-01
-6.32018750e-08,1.85703125e-01
-6.31618750e-08,1.85696875e-01
-6.31218750e-08,1.85703125e-01
-6.30818750e-08,1.85696875e-01
-6.30418750e-08,1.85703125e-01
-6.30018750e-08,1.85696875e-01
-6.29618750e-08,1.85703125e-01
-6.29218750e-08,1.85696875e-01
-6.28818750e-08,1.85703125e-01
-6.28418750e-08,1.85696875e-01
-6.28018750e-08,1.85703125e-01
-6.27618750e-08,1.85696875e-01
-6.27218750e-08,1.85701563e-01
-6.26818750e-08,1.85698438e-01
-6.26418750e-08,1.85701563e-01
-6.26018750e-08,1.85698438e-01
-6.25618750e-08,1.85701563e-01
-6.25218750e-08,1.85698438e-01
-6.24818750e-08,1.85701563e-01
-6.24418750e-08,1.85698438e-01
-6.24018750e-08,1.85701563e-01
-6.23618750e-08,1.85698438e-01
-6.23218750e-08,1.85701563e-01
-6.22818750e-08,1.85698438e-01
-6.22418750e-08,1.85701563e-01
-6.22018750e-08,1.85698438e-01
-6.21618750e-08,1.85701563e-01
-6.21218750e-08,1.85698438e-01
-6.20818750e-08,1.85701563e-01
-6.20418750e-08,1.85698438e-01
-6.20018750e-08,1.85700000e-01
-6.19618750e-08,1.85700000e-01
-6.19218750e-08,1.85700000e-01
-6.18818750e-08,1.85700000e-01
-6.18418750e-08,1.85700000e-01
-6.18018750e-08,1.85700000e-01
-6.17618750e-08,1.85700000e-01
-6.17218750e-08,1.85701563e-01
-6.16818750e-08,1.85698438e-01
-6.16418750e-08,1.85701563e-01
-6.16018750e-08,1.85696875e-01
-6.15618750e-08,1.85704688e-01
-6.15218750e-08,1.85695313e-01
-6.14818750e-08,1.85707813e-01
-6.14418750e-08,1.85689063e-01
-6.14018750e-08,1.85715625e-01
-6.13618750e-08,1.85675000e-01
-6.13218750e-08,1.85750000e-01
-6.12818750e-08,1.85496875e-01
-6.12418750e-08,1.85240625e-01
-6.12018750e-08,1.85335938e-01
-6.11618750e-08,1.85273437e-01
-6.11218750e-08,1.85321875e-01
-6.10818750e-08,1.85281250e-01
-6.10418750e-08,1.85317188e-01
-6.10018750e-08,1.85282813e-01
-6.09618750e-08,1.85315625e-01
-6.09218750e-08,1.85284375e-01
-6.08818750e-08,1.85315625e-01
-6.08418750e-08,1.85285937e-01
-6.08018750e-08,1.85315625e-01
-6.07618750e-08,1.85284375e-01
-6.07218750e-08,1.85315625e-01
-6.06818750e-08,1.85284375e-01
-6.06418750e-08,1.85317188e-01
