Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.02734375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39610937e-08,2.00926563e-01
-6.39210937e-08,2.00876563e-01
-6.38810937e-08,2.00921875e-01
-6.38410937e-08,2.00879688e-01
-6.38010937e-08,2.00920313e-01
-6.37610937e-08,2.00878125e-01
-6.37210938e-08,2.00925000e-01
-6.36810937e-08,2.00870313e-01
-6.36410937e-08,2.00939063e-01
-6.36010937e-08,2.00835938e-01
-6.35610937e-08,2.01117188e-01
-6.35210937e-08,2.01345313e-01
-6.34810937e-08,2.01278125e-01
-6.34410938e-08,2.01310938e-01
-6.34010937e-08,2.01293750e-01
-6.33610937e-08,2.01301563e-01
-6.33210937e-08,2.01301563e-01
-6.32810937e-08,2.01295313e-01
-6.32410937e-08,2.01309375e-01
-6.32010937e-08,2.01284375e-01
-6.31610938e-08,2.01326563e-01
-6.31210937e-08,2.01248438e-01
-6.30810937e-08,2.01504688e-01
-6.30410937e-08,2.01756250e-01
-6.30010937e-08,2.01667188e-01
-6.29610937e-08,2.01721875e-01
-6.29210937e-08,2.01684375e-01
-6.28810938e-08,2.01712500e-01
-6.28410937e-08,2.01690625e-01
-6.28010937e-08,2.01706250e-01
-6.27610937e-08,2.01698437e-01
-6.27210937e-08,2.01696875e-01
-6.26810937e-08,2.01712500e-01
-6.26410937e-08,2.01662500e-01
-6.26010938e-08,2.01890625e-01
-6.25610937e-08,2.02171875e-01
-6.25210937e-08,2.02050000e-01
-6.24810937e-08,2.02142188e-01
-6.24410937e-08,2.02060938e-01
-6.24010937e-08,2.02139063e-01
-6.23610937e-08,2.02057813e-01
-6.23210938e-08,2.02151562e-01
-6.22810937e-08,2.02025000e-01
-6.22410937e-08,2.02328125e-01
-6.22010937e-08,2.02532812e-01
-6.21610937e-08,2.02492188e-01
-6.21210938e-08,2.02496875e-01
-6.20810937e-08,2.02510938e-01
-6.20410938e-08,2.02481250e-01
-6.20010937e-08,2.02529687e-01
-6.19610937e-08,2.02443750e-01
-6.19210937e-08,2.02710938e-01
-6.18810937e-08,2.02950000e-01
-6.18410938e-08,2.02876562e-01
-6.18010937e-08,2.02912500e-01
-6.17610938e-08,2.02895313e-01
-6.17210937e-08,2.02896875e-01
-6.16810937e-08,2.02915625e-01
-6.16410937e-08,2.02857813e-01
-6.16010937e-08,2.03095313e-01
-6.15610938e-08,2.03365625e-01
-6.15210937e-08,2.03257812e-01
-6.14810938e-08,2.03332813e-01
-6.14410937e-08,2.03271875e-01
-6.14010937e-08,2.03326563e-01
-6.13610937e-08,2.03273438e-01
-6.13210937e-08,2.03326563e-01
-6.12810938e-08,2.03268750e-01
-6.12410937e-08,2.03339063e-01
-6.12010938e-08,2.03237500e-01
-6.11610937e-08,2.03515625e-01
-6.11210937e-08,2.03748438e-01
-6.10810937e-08,2.03675000e-01
-6.10410937e-08,2.03717188e-01
-6.10010938e-08,2.03685937e-01
-6.09610937e-08,2.03710938e-01
-6.09210938e-08,2.03689063e-01
-6.08810937e-08,2.03712500e-01
-6.08410937e-08,2.03685937e-01
-6.08010937e-08,2.03718750e-01
-6.07610937e-08,2.03673437e-01
-6.07210938e-08,2.03751563e-01
-6.06810937e-08,2.03495312e-01
-6.06410938e-08,2.03240625e-01
