Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.18359375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39673437e-08,1.93306250e-01
-6.39273437e-08,1.93293750e-01
-6.38873437e-08,1.93306250e-01
-6.38473437e-08,1.93293750e-01
-6.38073437e-08,1.93306250e-01
-6.37673437e-08,1.93292188e-01
-6.37273438e-08,1.93307813e-01
-6.36873437e-08,1.93292188e-01
-6.36473437e-08,1.93307813e-01
-6.36073437e-08,1.93292188e-01
-6.35673437e-08,1.93309375e-01
-6.35273437e-08,1.93290625e-01
-6.34873437e-08,1.93309375e-01
-6.34473438e-08,1.93289062e-01
-6.34073437e-08,1.93310938e-01
-6.33673437e-08,1.93287500e-01
-6.33273437e-08,1.93314062e-01
-6.32873437e-08,1.93282813e-01
-6.32473438e-08,1.93320313e-01
-6.32073437e-08,1.93275000e-01
-6.31673438e-08,1.93334375e-01
-6.31273437e-08,1.93239063e-01
-6.30873437e-08,1.93514063e-01
-6.30473437e-08,1.93748438e-01
-6.30073437e-08,1.93676563e-01
-6.29673438e-08,1.93714063e-01
-6.29273437e-08,1.93692188e-01
-6.28873438e-08,1.93703125e-01
-6.28473437e-08,1.93701563e-01
-6.28073437e-08,1.93695312e-01
-6.27673437e-08,1.93710938e-01
-6.27273437e-08,1.93678125e-01
-6.26873438e-08,1.93746875e-01
-6.26473437e-08,1.93500000e-01
-6.26073438e-08,1.93239063e-01
-6.25673437e-08,1.93337500e-01
-6.25273437e-08,1.93271875e-01
-6.24873437e-08,1.93321875e-01
-6.24473437e-08,1.93279688e-01
-6.24073438e-08,1.93317188e-01
-6.23673437e-08,1.93284375e-01
-6.23273438e-08,1.93315625e-01
-6.22873437e-08,1.93285938e-01
-6.22473437e-08,1.93314062e-01
-6.22073437e-08,1.93285938e-01
-6.21673437e-08,1.93314062e-01
-6.21273438e-08,1.93284375e-01
-6.20873437e-08,1.93315625e-01
-6.20473438e-08,1.93282813e-01
-6.20073437e-08,1.93318750e-01
-6.19673437e-08,1.93278125e-01
-6.19273437e-08,1.93326563e-01
-6.18873437e-08,1.93264063e-01
-6.18473438e-08,1.93360937e-01
-6.18073437e-08,1.93087500e-01
-6.17673438e-08,1.92851563e-01
-6.17273437e-08,1.92925000e-01
-6.16873437e-08,1.92884375e-01
-6.16473437e-08,1.92910938e-01
-6.16073437e-08,1.92892188e-01
-6.15673438e-08,1.92906250e-01
-6.15273437e-08,1.92895312e-01
-6.14873438e-08,1.92903125e-01
-6.14473437e-08,1.92896875e-01
-6.14073437e-08,1.92901563e-01
-6.13673437e-08,1.92898438e-01
-6.13273437e-08,1.92901563e-01
-6.12873438e-08,1.92900000e-01
-6.12473437e-08,1.92900000e-01
-6.12073437e-08,1.92900000e-01
-6.11673437e-08,1.92898438e-01
-6.11273437e-08,1.92901563e-01
-6.10873437e-08,1.92898438e-01
-6.10473437e-08,1.92903125e-01
-6.10073438e-08,1.92896875e-01
-6.09673437e-08,1.92904688e-01
-6.09273437e-08,1.92893750e-01
-6.08873437e-08,1.92906250e-01
-6.08473437e-08,1.92890625e-01
-6.08073437e-08,1.92912500e-01
-6.07673437e-08,1.92882813e-01
-6.07273438e-08,1.92926563e-01
-6.06873437e-08,1.92848437e-01
-6.06473437e-08,1.93103125e-01
