Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.09765625
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39639062e-08,2.00093750e-01
-6.39239063e-08,2.00104688e-01
-6.38839062e-08,2.00096875e-01
-6.38439062e-08,2.00101562e-01
-6.38039062e-08,2.00098438e-01
-6.37639062e-08,2.00100000e-01
-6.37239062e-08,2.00100000e-01
-6.36839062e-08,2.00098438e-01
-6.36439063e-08,2.00101562e-01
-6.36039062e-08,2.00098438e-01
-6.35639062e-08,2.00103125e-01
-6.35239062e-08,2.00096875e-01
-6.34839062e-08,2.00103125e-01
-6.34439062e-08,2.00096875e-01
-6.34039062e-08,2.00104688e-01
-6.33639063e-08,2.00095313e-01
-6.33239062e-08,2.00104688e-01
-6.32839062e-08,2.00095313e-01
-6.32439062e-08,2.00106250e-01
-6.32039062e-08,2.00093750e-01
-6.31639062e-08,2.00106250e-01
-6.31239062e-08,2.00092188e-01
-6.30839063e-08,2.00107813e-01
-6.30439062e-08,2.00092188e-01
-6.30039062e-08,2.00109375e-01
-6.29639062e-08,2.00090625e-01
-6.29239062e-08,2.00110938e-01
-6.28839062e-08,2.00087500e-01
-6.28439062e-08,2.00114063e-01
-6.28039063e-08,2.00084375e-01
-6.27639062e-08,2.00117188e-01
-6.27239062e-08,2.00078125e-01
-6.26839062e-08,2.00126562e-01
-6.26439062e-08,2.00064063e-01
-6.26039063e-08,2.00162500e-01
-6.25639062e-08,1.99884375e-01
-6.25239063e-08,1.99654688e-01
-6.24839062e-08,1.99721875e-01
-6.24439062e-08,1.99689063e-01
-6.24039062e-08,1.99704688e-01
-6.23639062e-08,1.99700000e-01
-6.23239063e-08,1.99696875e-01
-6.22839062e-08,1.99706250e-01
-6.22439063e-08,1.99689063e-01
-6.22039062e-08,1.99717188e-01
-6.21639062e-08,1.99671875e-01
-6.21239062e-08,1.99754687e-01
-6.20839062e-08,1.99492188e-01
-6.20439063e-08,1.99246875e-01
-6.20039062e-08,1.99328125e-01
-6.19639063e-08,1.99281250e-01
-6.19239062e-08,1.99312500e-01
-6.18839062e-08,1.99292187e-01
-6.18439062e-08,1.99303125e-01
-6.18039062e-08,1.99300000e-01
-6.17639063e-08,1.99295313e-01
-6.17239062e-08,1.99310938e-01
-6.16839063e-08,1.99278125e-01
-6.16439062e-08,1.99346875e-01
-6.16039062e-08,1.99100000e-01
-6.15639062e-08,1.98839062e-01
-6.15239062e-08,1.98937500e-01
-6.14839063e-08,1.98873437e-01
-6.14439062e-08,1.98921875e-01
-6.14039063e-08,1.98881250e-01
-6.13639062e-08,1.98915625e-01
-6.13239062e-08,1.98885937e-01
-6.12839062e-08,1.98912500e-01
-6.12439062e-08,1.98889063e-01
-6.12039063e-08,1.98909375e-01
-6.11639062e-08,1.98890625e-01
-6.11239063e-08,1.98907813e-01
-6.10839062e-08,1.98893750e-01
-6.10439062e-08,1.98904688e-01
-6.10039062e-08,1.98895313e-01
-6.09639062e-08,1.98901563e-01
-6.09239063e-08,1.98901563e-01
-6.08839062e-08,1.98893750e-01
-6.08439063e-08,1.98915625e-01
-6.08039062e-08,1.98860938e-01
-6.07639062e-08,1.99092188e-01
-6.07239062e-08,1.99371875e-01
-6.06839062e-08,1.99251563e-01
-6.06439063e-08,1.99340625e-01
