Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.08203125
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39632812e-08,1.83292188e-01
-6.39232812e-08,1.83312500e-01
-6.38832812e-08,1.83282813e-01
-6.38432812e-08,1.83328125e-01
-6.38032812e-08,1.83246875e-01
-6.37632813e-08,1.83506250e-01
-6.37232812e-08,1.83756250e-01
-6.36832812e-08,1.83668750e-01
-6.36432812e-08,1.83721875e-01
-6.36032812e-08,1.83682813e-01
-6.35632812e-08,1.83714062e-01
-6.35232812e-08,1.83687500e-01
-6.34832813e-08,1.83710938e-01
-6.34432812e-08,1.83690625e-01
-6.34032812e-08,1.83707813e-01
-6.33632812e-08,1.83692187e-01
-6.33232812e-08,1.83707813e-01
-6.32832812e-08,1.83693750e-01
-6.32432812e-08,1.83706250e-01
-6.32032813e-08,1.83693750e-01
-6.31632812e-08,1.83706250e-01
-6.31232812e-08,1.83695313e-01
-6.30832812e-08,1.83704688e-01
-6.30432812e-08,1.83695313e-01
-6.30032812e-08,1.83704688e-01
-6.29632812e-08,1.83695313e-01
-6.29232813e-08,1.83704688e-01
-6.28832812e-08,1.83695313e-01
-6.28432812e-08,1.83704688e-01
-6.28032812e-08,1.83695313e-01
-6.27632812e-08,1.83704688e-01
-6.27232812e-08,1.83695313e-01
-6.26832812e-08,1.83704688e-01
-6.26432813e-08,1.83695313e-01
-6.26032812e-08,1.83704688e-01
-6.25632812e-08,1.83695313e-01
-6.25232812e-08,1.83704688e-01
-6.24832812e-08,1.83695313e-01
-6.24432812e-08,1.83704688e-01
-6.24032812e-08,1.83695313e-01
-6.23632813e-08,1.83704688e-01
-6.23232812e-08,1.83695313e-01
-6.22832812e-08,1.83704688e-01
-6.22432812e-08,1.83695313e-01
-6.22032812e-08,1.83704688e-01
-6.21632812e-08,1.83695313e-01
-6.21232812e-08,1.83704688e-01
-6.20832813e-08,1.83695313e-01
-6.20432812e-08,1.83704688e-01
-6.20032812e-08,1.83695313e-01
-6.19632812e-08,1.83704688e-01
-6.19232812e-08,1.83695313e-01
-6.18832813e-08,1.83704688e-01
-6.18432812e-08,1.83695313e-01
-6.18032813e-08,1.83706250e-01
-6.17632812e-08,1.83693750e-01
-6.17232812e-08,1.83706250e-01
-6.16832812e-08,1.83693750e-01
-6.16432812e-08,1.83706250e-01
-6.16032813e-08,1.83693750e-01
-6.15632812e-08,1.83706250e-01
-6.15232813e-08,1.83693750e-01
-6.14832812e-08,1.83707813e-01
-6.14432812e-08,1.83692187e-01
-6.14032812e-08,1.83707813e-01
-6.13632812e-08,1.83692187e-01
-6.13232813e-08,1.83707813e-01
-6.12832812e-08,1.83690625e-01
-6.12432813e-08,1.83709375e-01
-6.12032812e-08,1.83690625e-01
-6.11632812e-08,1.83710938e-01
-6.11232812e-08,1.83689062e-01
-6.10832812e-08,1.83712500e-01
-6.10432813e-08,1.83685938e-01
-6.10032812e-08,1.83715625e-01
-6.09632813e-08,1.83682813e-01
-6.09232812e-08,1.83718750e-01
-6.08832812e-08,1.83676563e-01
-6.08432812e-08,1.83728125e-01
-6.08032812e-08,1.83660938e-01
-6.07632813e-08,1.83764063e-01
-6.07232812e-08,1.83481250e-01
-6.06832813e-08,1.83256250e-01
-6.06432812e-08,1.83318750e-01
