Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.08984375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39635937e-08,1.91295313e-01
-6.39235937e-08,1.91306250e-01
-6.38835938e-08,1.91292188e-01
-6.38435937e-08,1.91312500e-01
-6.38035938e-08,1.91282813e-01
-6.37635937e-08,1.91328125e-01
-6.37235937e-08,1.91246875e-01
-6.36835937e-08,1.91506250e-01
-6.36435937e-08,1.91756250e-01
-6.36035938e-08,1.91668750e-01
-6.35635937e-08,1.91721875e-01
-6.35235938e-08,1.91682813e-01
-6.34835937e-08,1.91714063e-01
-6.34435937e-08,1.91689063e-01
-6.34035937e-08,1.91709375e-01
-6.33635937e-08,1.91692187e-01
-6.33235938e-08,1.91707813e-01
-6.32835937e-08,1.91693750e-01
-6.32435938e-08,1.91704687e-01
-6.32035937e-08,1.91695313e-01
-6.31635937e-08,1.91703125e-01
-6.31235937e-08,1.91696875e-01
-6.30835937e-08,1.91701563e-01
-6.30435938e-08,1.91700000e-01
-6.30035937e-08,1.91698438e-01
-6.29635938e-08,1.91703125e-01
-6.29235937e-08,1.91695313e-01
-6.28835937e-08,1.91707813e-01
-6.28435937e-08,1.91687500e-01
-6.28035937e-08,1.91723438e-01
-6.27635938e-08,1.91653125e-01
-6.27235937e-08,1.91900000e-01
-6.26835938e-08,1.92160938e-01
-6.26435937e-08,1.92062500e-01
-6.26035937e-08,1.92128125e-01
-6.25635937e-08,1.92076562e-01
-6.25235937e-08,1.92120313e-01
-6.24835938e-08,1.92081250e-01
-6.24435937e-08,1.92117188e-01
-6.24035938e-08,1.92082813e-01
-6.23635937e-08,1.92115625e-01
-6.23235937e-08,1.92084375e-01
-6.22835937e-08,1.92115625e-01
-6.22435937e-08,1.92084375e-01
-6.22035938e-08,1.92115625e-01
-6.21635937e-08,1.92082813e-01
-6.21235937e-08,1.92117188e-01
-6.20835937e-08,1.92081250e-01
-6.20435937e-08,1.92120313e-01
-6.20035937e-08,1.92076562e-01
-6.19635937e-08,1.92128125e-01
-6.19235938e-08,1.92060938e-01
-6.18835937e-08,1.92162500e-01
-6.18435937e-08,1.91884375e-01
-6.18035937e-08,1.91654688e-01
-6.17635937e-08,1.91721875e-01
-6.17235937e-08,1.91687500e-01
-6.16835937e-08,1.91707813e-01
-6.16435938e-08,1.91695313e-01
-6.16035937e-08,1.91701563e-01
-6.15635937e-08,1.91700000e-01
-6.15235937e-08,1.91698438e-01
-6.14835937e-08,1.91703125e-01
-6.14435937e-08,1.91695313e-01
-6.14035937e-08,1.91704687e-01
-6.13635938e-08,1.91693750e-01
-6.13235937e-08,1.91709375e-01
-6.12835937e-08,1.91689063e-01
-6.12435937e-08,1.91714063e-01
-6.12035937e-08,1.91679688e-01
-6.11635937e-08,1.91729687e-01
-6.11235937e-08,1.91645312e-01
-6.10835938e-08,1.91907812e-01
-6.10435937e-08,1.92153125e-01
-6.10035937e-08,1.92070313e-01
-6.09635937e-08,1.92120313e-01
-6.09235937e-08,1.92084375e-01
-6.08835937e-08,1.92110937e-01
-6.08435937e-08,1.92090625e-01
-6.08035938e-08,1.92107813e-01
-6.07635937e-08,1.92093750e-01
-6.07235937e-08,1.92104688e-01
-6.06835937e-08,1.92096875e-01
-6.06435937e-08,1.92103125e-01
