Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.85156250
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39940625e-08,1.91682813e-01
-6.39540625e-08,1.91726563e-01
-6.39140625e-08,1.91648438e-01
-6.38740625e-08,1.91904688e-01
-6.38340625e-08,1.92156250e-01
-6.37940625e-08,1.92067188e-01
-6.37540625e-08,1.92121875e-01
-6.37140625e-08,1.92082813e-01
-6.36740625e-08,1.92114063e-01
-6.36340625e-08,1.92089063e-01
-6.35940625e-08,1.92107813e-01
-6.35540625e-08,1.92093750e-01
-6.35140625e-08,1.92104688e-01
-6.34740625e-08,1.92096875e-01
-6.34340625e-08,1.92100000e-01
-6.33940625e-08,1.92103125e-01
-6.33540625e-08,1.92090625e-01
-6.33140625e-08,1.92118750e-01
-6.32740625e-08,1.92056250e-01
-6.32340625e-08,1.92296875e-01
-6.31940625e-08,1.92565625e-01
-6.31540625e-08,1.92457812e-01
-6.31140625e-08,1.92532813e-01
-6.30740625e-08,1.92471875e-01
-6.30340625e-08,1.92526562e-01
-6.29940625e-08,1.92475000e-01
-6.29540625e-08,1.92525000e-01
-6.29140625e-08,1.92475000e-01
-6.28740625e-08,1.92528125e-01
-6.28340625e-08,1.92468750e-01
-6.27940625e-08,1.92540625e-01
-6.27540625e-08,1.92434375e-01
-6.27140625e-08,1.92717187e-01
-6.26740625e-08,1.92945313e-01
-6.26340625e-08,1.92878125e-01
-6.25940625e-08,1.92912500e-01
-6.25540625e-08,1.92892188e-01
-6.25140625e-08,1.92904688e-01
-6.24740625e-08,1.92896875e-01
-6.24340625e-08,1.92901563e-01
-6.23940625e-08,1.92898438e-01
-6.23540625e-08,1.92900000e-01
-6.23140625e-08,1.92900000e-01
-6.22740625e-08,1.92900000e-01
-6.22340625e-08,1.92900000e-01
-6.21940625e-08,1.92898438e-01
-6.21540625e-08,1.92901563e-01
-6.21140625e-08,1.92898438e-01
-6.20740625e-08,1.92901563e-01
-6.20340625e-08,1.92898438e-01
-6.19940625e-08,1.92901563e-01
-6.19540625e-08,1.92898438e-01
-6.19140625e-08,1.92901563e-01
-6.18740625e-08,1.92898438e-01
-6.18340625e-08,1.92901563e-01
-6.17940625e-08,1.92898438e-01
-6.17540625e-08,1.92901563e-01
-6.17140625e-08,1.92898438e-01
-6.16740625e-08,1.92901563e-01
-6.16340625e-08,1.92898438e-01
-6.15940625e-08,1.92901563e-01
-6.15540625e-08,1.92898438e-01
-6.15140625e-08,1.92901563e-01
-6.14740625e-08,1.92898438e-01
-6.14340625e-08,1.92901563e-01
-6.13940625e-08,1.92898438e-01
-6.13540625e-08,1.92901563e-01
-6.13140625e-08,1.92898438e-01
-6.12740625e-08,1.92901563e-01
-6.12340625e-08,1.92898438e-01
-6.11940625e-08,1.92901563e-01
-6.11540625e-08,1.92898438e-01
-6.11140625e-08,1.92901563e-01
-6.10740625e-08,1.92898438e-01
-6.10340625e-08,1.92901563e-01
-6.09940625e-08,1.92898438e-01
-6.09540625e-08,1.92901563e-01
-6.09140625e-08,1.92898438e-01
-6.08740625e-08,1.92901563e-01
-6.08340625e-08,1.92898438e-01
-6.07940625e-08,1.92901563e-01
-6.07540625e-08,1.92898438e-01
-6.07140625e-08,1.92901563e-01
-6.06740625e-08,1.92898438e-01
