Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.87109375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39948438e-08,1.92498438e-01
-6.39548437e-08,1.92501563e-01
-6.39148438e-08,1.92498438e-01
-6.38748437e-08,1.92501563e-01
-6.38348437e-08,1.92500000e-01
-6.37948437e-08,1.92500000e-01
-6.37548437e-08,1.92500000e-01
-6.37148438e-08,1.92500000e-01
-6.36748437e-08,1.92500000e-01
-6.36348438e-08,1.92500000e-01
-6.35948437e-08,1.92501563e-01
-6.35548437e-08,1.92498438e-01
-6.35148437e-08,1.92501563e-01
-6.34748437e-08,1.92498438e-01
-6.34348438e-08,1.92501563e-01
-6.33948437e-08,1.92498438e-01
-6.33548437e-08,1.92501563e-01
-6.33148437e-08,1.92498438e-01
-6.32748437e-08,1.92501563e-01
-6.32348437e-08,1.92498438e-01
-6.31948437e-08,1.92501563e-01
-6.31548438e-08,1.92498438e-01
-6.31148437e-08,1.92501563e-01
-6.30748437e-08,1.92496875e-01
-6.30348437e-08,1.92503125e-01
-6.29948437e-08,1.92496875e-01
-6.29548437e-08,1.92503125e-01
-6.29148437e-08,1.92496875e-01
-6.28748438e-08,1.92503125e-01
-6.28348437e-08,1.92496875e-01
-6.27948437e-08,1.92503125e-01
-6.27548437e-08,1.92496875e-01
-6.27148437e-08,1.92503125e-01
-6.26748437e-08,1.92495313e-01
-6.26348437e-08,1.92504687e-01
-6.25948438e-08,1.92495313e-01
-6.25548437e-08,1.92504687e-01
-6.25148437e-08,1.92493750e-01
-6.24748437e-08,1.92506250e-01
-6.24348437e-08,1.92493750e-01
-6.23948437e-08,1.92507813e-01
-6.23548437e-08,1.92492188e-01
-6.23148438e-08,1.92509375e-01
-6.22748437e-08,1.92487500e-01
-6.22348437e-08,1.92514062e-01
-6.21948437e-08,1.92479687e-01
-6.21548437e-08,1.92529688e-01
-6.21148437e-08,1.92445313e-01
-6.20748437e-08,1.92706250e-01
-6.20348438e-08,1.92956250e-01
-6.19948437e-08,1.92868750e-01
-6.19548437e-08,1.92923438e-01
-6.19148437e-08,1.92881250e-01
-6.18748437e-08,1.92915625e-01
-6.18348437e-08,1.92885937e-01
-6.17948437e-08,1.92914063e-01
-6.17548438e-08,1.92885937e-01
-6.17148437e-08,1.92914063e-01
-6.16748437e-08,1.92884375e-01
-6.16348437e-08,1.92917188e-01
-6.15948437e-08,1.92878125e-01
-6.15548437e-08,1.92931250e-01
-6.15148437e-08,1.92843750e-01
-6.14748438e-08,1.93107813e-01
-6.14348437e-08,1.93354688e-01
-6.13948437e-08,1.93268750e-01
-6.13548437e-08,1.93321875e-01
-6.13148437e-08,1.93282813e-01
-6.12748438e-08,1.93315625e-01
-6.12348437e-08,1.93285938e-01
-6.11948438e-08,1.93312500e-01
-6.11548437e-08,1.93287500e-01
-6.11148437e-08,1.93312500e-01
-6.10748437e-08,1.93287500e-01
-6.10348437e-08,1.93314062e-01
-6.09948438e-08,1.93284375e-01
-6.09548437e-08,1.93317188e-01
-6.09148438e-08,1.93278125e-01
-6.08748437e-08,1.93331250e-01
-6.08348437e-08,1.93243750e-01
-6.07948437e-08,1.93509375e-01
-6.07548437e-08,1.93753125e-01
-6.07148438e-08,1.93670312e-01
-6.06748437e-08,1.93721875e-01
