Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.13281250
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39653125e-08,2.02500000e-01
-6.39253125e-08,2.02500000e-01
-6.38853125e-08,2.02500000e-01
-6.38453125e-08,2.02500000e-01
-6.38053125e-08,2.02500000e-01
-6.37653125e-08,2.02500000e-01
-6.37253125e-08,2.02500000e-01
-6.36853125e-08,2.02500000e-01
-6.36453125e-08,2.02500000e-01
-6.36053125e-08,2.02500000e-01
-6.35653125e-08,2.02500000e-01
-6.35253125e-08,2.02500000e-01
-6.34853125e-08,2.02500000e-01
-6.34453125e-08,2.02500000e-01
-6.34053125e-08,2.02500000e-01
-6.33653125e-08,2.02500000e-01
-6.33253125e-08,2.02500000e-01
-6.32853125e-08,2.02500000e-01
-6.32453125e-08,2.02500000e-01
-6.32053125e-08,2.02500000e-01
-6.31653125e-08,2.02500000e-01
-6.31253125e-08,2.02500000e-01
-6.30853125e-08,2.02500000e-01
-6.30453125e-08,2.02500000e-01
-6.30053125e-08,2.02500000e-01
-6.29653125e-08,2.02500000e-01
-6.29253125e-08,2.02500000e-01
-6.28853125e-08,2.02500000e-01
-6.28453125e-08,2.02500000e-01
-6.28053125e-08,2.02500000e-01
-6.27653125e-08,2.02500000e-01
-6.27253125e-08,2.02500000e-01
-6.26853125e-08,2.02501563e-01
-6.26453125e-08,2.02498438e-01
-6.26053125e-08,2.02503125e-01
-6.25653125e-08,2.02496875e-01
-6.25253125e-08,2.02504688e-01
-6.24853125e-08,2.02492188e-01
-6.24453125e-08,2.02512500e-01
-6.24053125e-08,2.02478125e-01
-6.23653125e-08,2.02546875e-01
-6.23253125e-08,2.02301563e-01
-6.22853125e-08,2.02035938e-01
-6.22453125e-08,2.02142188e-01
-6.22053125e-08,2.02067188e-01
-6.21653125e-08,2.02129688e-01
-6.21253125e-08,2.02071875e-01
-6.20853125e-08,2.02128125e-01
-6.20453125e-08,2.02068750e-01
-6.20053125e-08,2.02135938e-01
-6.19653125e-08,2.02054687e-01
-6.19253125e-08,2.02168750e-01
-6.18853125e-08,2.01876563e-01
-6.18453125e-08,2.01660937e-01
-6.18053125e-08,2.01714063e-01
-6.17653125e-08,2.01695313e-01
-6.17253125e-08,2.01698437e-01
-6.16853125e-08,2.01706250e-01
-6.16453125e-08,2.01687500e-01
-6.16053125e-08,2.01718750e-01
-6.15653125e-08,2.01670313e-01
-6.15253125e-08,2.01756250e-01
-6.14853125e-08,2.01490625e-01
-6.14453125e-08,2.01248438e-01
-6.14053125e-08,2.01326563e-01
-6.13653125e-08,2.01282813e-01
-6.13253125e-08,2.01310938e-01
-6.12853125e-08,2.01293750e-01
-6.12453125e-08,2.01303125e-01
-6.12053125e-08,2.01301563e-01
-6.11653125e-08,2.01293750e-01
-6.11253125e-08,2.01312500e-01
-6.10853125e-08,2.01278125e-01
-6.10453125e-08,2.01348438e-01
-6.10053125e-08,2.01098438e-01
-6.09653125e-08,2.00839062e-01
-6.09253125e-08,2.00935937e-01
-6.08853125e-08,2.00873438e-01
-6.08453125e-08,2.00921875e-01
-6.08053125e-08,2.00882813e-01
-6.07653125e-08,2.00915625e-01
-6.07253125e-08,2.00885938e-01
-6.06853125e-08,2.00912500e-01
-6.06453125e-08,2.00889062e-01
