Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.17187500
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39668750e-08,1.91292188e-01
-6.39268750e-08,1.91306250e-01
-6.38868750e-08,1.91293750e-01
-6.38468750e-08,1.91304688e-01
-6.38068750e-08,1.91295313e-01
-6.37668750e-08,1.91303125e-01
-6.37268750e-08,1.91296875e-01
-6.36868750e-08,1.91303125e-01
-6.36468750e-08,1.91298438e-01
-6.36068750e-08,1.91301563e-01
-6.35668750e-08,1.91298438e-01
-6.35268750e-08,1.91301563e-01
-6.34868750e-08,1.91300000e-01
-6.34468750e-08,1.91300000e-01
-6.34068750e-08,1.91300000e-01
-6.33668750e-08,1.91300000e-01
-6.33268750e-08,1.91301563e-01
-6.32868750e-08,1.91298438e-01
-6.32468750e-08,1.91301563e-01
-6.32068750e-08,1.91298438e-01
-6.31668750e-08,1.91303125e-01
-6.31268750e-08,1.91296875e-01
-6.30868750e-08,1.91304688e-01
-6.30468750e-08,1.91295313e-01
-6.30068750e-08,1.91304688e-01
-6.29668750e-08,1.91293750e-01
-6.29268750e-08,1.91307813e-01
-6.28868750e-08,1.91290625e-01
-6.28468750e-08,1.91310938e-01
-6.28068750e-08,1.91285938e-01
-6.27668750e-08,1.91320313e-01
-6.27268750e-08,1.91270313e-01
-6.26868750e-08,1.91354688e-01
-6.26468750e-08,1.91092188e-01
-6.26068750e-08,1.90845313e-01
-6.25668750e-08,1.90931250e-01
-6.25268750e-08,1.90878125e-01
-6.24868750e-08,1.90915625e-01
-6.24468750e-08,1.90887500e-01
-6.24068750e-08,1.90910938e-01
-6.23668750e-08,1.90890625e-01
-6.23268750e-08,1.90907812e-01
-6.22868750e-08,1.90892188e-01
-6.22468750e-08,1.90906250e-01
-6.22068750e-08,1.90893750e-01
-6.21668750e-08,1.90904688e-01
-6.21268750e-08,1.90895312e-01
-6.20868750e-08,1.90904688e-01
-6.20468750e-08,1.90895312e-01
-6.20068750e-08,1.90903125e-01
-6.19668750e-08,1.90896875e-01
-6.19268750e-08,1.90903125e-01
-6.18868750e-08,1.90896875e-01
-6.18468750e-08,1.90903125e-01
-6.18068750e-08,1.90896875e-01
-6.17668750e-08,1.90903125e-01
-6.17268750e-08,1.90898438e-01
-6.16868750e-08,1.90901563e-01
-6.16468750e-08,1.90898438e-01
-6.16068750e-08,1.90901563e-01
-6.15668750e-08,1.90898438e-01
-6.15268750e-08,1.90901563e-01
-6.14868750e-08,1.90898438e-01
-6.14468750e-08,1.90901563e-01
-6.14068750e-08,1.90898438e-01
-6.13668750e-08,1.90901563e-01
-6.13268750e-08,1.90898438e-01
-6.12868750e-08,1.90900000e-01
-6.12468750e-08,1.90900000e-01
-6.12068750e-08,1.90900000e-01
-6.11668750e-08,1.90900000e-01
-6.11268750e-08,1.90900000e-01
-6.10868750e-08,1.90900000e-01
-6.10468750e-08,1.90900000e-01
-6.10068750e-08,1.90900000e-01
-6.09668750e-08,1.90900000e-01
-6.09268750e-08,1.90900000e-01
-6.08868750e-08,1.90900000e-01
-6.08468750e-08,1.90900000e-01
-6.08068750e-08,1.90900000e-01
-6.07668750e-08,1.90900000e-01
-6.07268750e-08,1.90900000e-01
-6.06868750e-08,1.90900000e-01
-6.06468750e-08,1.90900000e-01
