Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.05468750
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39621875e-08,1.89281250e-01
-6.39221875e-08,1.89320313e-01
-6.38821875e-08,1.89276562e-01
-6.38421875e-08,1.89328125e-01
-6.38021875e-08,1.89260938e-01
-6.37621875e-08,1.89364063e-01
-6.37221875e-08,1.89082813e-01
-6.36821875e-08,1.88854688e-01
-6.36421875e-08,1.88920313e-01
-6.36021875e-08,1.88889063e-01
-6.35621875e-08,1.88904688e-01
-6.35221875e-08,1.88898438e-01
-6.34821875e-08,1.88898438e-01
-6.34421875e-08,1.88903125e-01
-6.34021875e-08,1.88895312e-01
-6.33621875e-08,1.88907812e-01
-6.33221875e-08,1.88890625e-01
-6.32821875e-08,1.88912500e-01
-6.32421875e-08,1.88884375e-01
-6.32021875e-08,1.88921875e-01
-6.31621875e-08,1.88868750e-01
-6.31221875e-08,1.88957813e-01
-6.30821875e-08,1.88689063e-01
-6.30421875e-08,1.88448438e-01
-6.30021875e-08,1.88526562e-01
-6.29621875e-08,1.88482813e-01
-6.29221875e-08,1.88510938e-01
-6.28821875e-08,1.88492188e-01
-6.28421875e-08,1.88504688e-01
-6.28021875e-08,1.88496875e-01
-6.27621875e-08,1.88501562e-01
-6.27221875e-08,1.88500000e-01
-6.26821875e-08,1.88498438e-01
-6.26421875e-08,1.88503125e-01
-6.26021875e-08,1.88495313e-01
-6.25621875e-08,1.88506250e-01
-6.25221875e-08,1.88492188e-01
-6.24821875e-08,1.88510938e-01
-6.24421875e-08,1.88485938e-01
-6.24021875e-08,1.88518750e-01
-6.23621875e-08,1.88470313e-01
-6.23221875e-08,1.88554688e-01
-6.22821875e-08,1.88292188e-01
-6.22421875e-08,1.88046875e-01
-6.22021875e-08,1.88129688e-01
-6.21621875e-08,1.88079688e-01
-6.21221875e-08,1.88114063e-01
-6.20821875e-08,1.88089063e-01
-6.20421875e-08,1.88109375e-01
-6.20021875e-08,1.88092188e-01
-6.19621875e-08,1.88106250e-01
-6.19221875e-08,1.88095313e-01
-6.18821875e-08,1.88103125e-01
-6.18421875e-08,1.88098437e-01
-6.18021875e-08,1.88101563e-01
-6.17621875e-08,1.88100000e-01
-6.17221875e-08,1.88098437e-01
-6.16821875e-08,1.88101563e-01
-6.16421875e-08,1.88096875e-01
-6.16021875e-08,1.88104688e-01
-6.15621875e-08,1.88093750e-01
-6.15221875e-08,1.88109375e-01
-6.14821875e-08,1.88087500e-01
-6.14421875e-08,1.88117188e-01
-6.14021875e-08,1.88073437e-01
-6.13621875e-08,1.88151563e-01
-6.13221875e-08,1.87893750e-01
-6.12821875e-08,1.87643750e-01
-6.12421875e-08,1.87732813e-01
-6.12021875e-08,1.87676563e-01
-6.11621875e-08,1.87717187e-01
-6.11221875e-08,1.87685938e-01
-6.10821875e-08,1.87712500e-01
-6.10421875e-08,1.87689063e-01
-6.10021875e-08,1.87709375e-01
-6.09621875e-08,1.87692187e-01
-6.09221875e-08,1.87707813e-01
-6.08821875e-08,1.87693750e-01
-6.08421875e-08,1.87706250e-01
-6.08021875e-08,1.87693750e-01
-6.07621875e-08,1.87704687e-01
-6.07221875e-08,1.87695313e-01
-6.06821875e-08,1.87704687e-01
-6.06421875e-08,1.87695313e-01
